+------------------------------+
| CosmoFlow                    |
| # Ranks =     1              |
| Global Batch =      1        |
| # Parameters =   7041186     |
| CPE Plugin Pipeline Enabled  |
+------------------------------+
Rank 0 has waited a total of 0.017701 seconds for communication to complete so far on team 0 (calls = 0)
Train Step: 0, Samples/Sec = 0.0771146474356, Samples/Sec(inst) = 0.0771146474356, Loss = 1.0256983
Train Step: 1, Samples/Sec = 0.152195139652, Samples/Sec(inst) = 5.76970450634, Loss = 0.5658295
Train Step: 2, Samples/Sec = 0.225334101823, Samples/Sec(inst) = 5.79575920463, Loss = 0.6553217
Train Step: 3, Samples/Sec = 0.296658790112, Samples/Sec(inst) = 5.88442997839, Loss = 2.9218054
Train Step: 4, Samples/Sec = 0.365967343351, Samples/Sec(inst) = 5.58917851427, Loss = 2.7670588
Train Step: 5, Samples/Sec = 0.433710147582, Samples/Sec(inst) = 5.82401475199, Loss = 2.0865455
Train Step: 6, Samples/Sec = 0.499797477362, Samples/Sec(inst) = 5.82924361526, Loss = 2.2132132
Train Step: 7, Samples/Sec = 0.564291819773, Samples/Sec(inst) = 5.83468478432, Loss = 2.2256413
Train Step: 8, Samples/Sec = 0.627300760738, Samples/Sec(inst) = 5.87809649806, Loss = 0.5827625
Train Step: 9, Samples/Sec = 0.688601811305, Samples/Sec(inst) = 5.71441962108, Loss = 1.6003072
Train Step: 10, Samples/Sec = 0.748624550363, Samples/Sec(inst) = 5.83318359706, Loss = 1.2559774
Train Step: 11, Samples/Sec = 0.807258616406, Samples/Sec(inst) = 5.83053203571, Loss = 1.4363462
Train Step: 12, Samples/Sec = 0.86455653757, Samples/Sec(inst) = 5.83138319171, Loss = 0.42892265
Train Step: 13, Samples/Sec = 0.920563550495, Samples/Sec(inst) = 5.83209673293, Loss = 1.0325211
Train Step: 14, Samples/Sec = 0.975323378583, Samples/Sec(inst) = 5.83298079317, Loss = 0.75771564
Train Step: 15, Samples/Sec = 1.02887576211, Samples/Sec(inst) = 5.83294834585, Loss = 1.1296992
Train Step: 16, Samples/Sec = 1.08126237065, Samples/Sec(inst) = 5.8339949537, Loss = 2.0538054
Train Step: 17, Samples/Sec = 1.13251334322, Samples/Sec(inst) = 5.83127779701, Loss = 0.46824068
Train Step: 18, Samples/Sec = 1.18266758181, Samples/Sec(inst) = 5.83008629126, Loss = 1.4067284
Train Step: 19, Samples/Sec = 1.2317778048, Samples/Sec(inst) = 5.83709641505, Loss = 1.6131802
Train Step: 20, Samples/Sec = 1.27985275132, Samples/Sec(inst) = 5.83284289457, Loss = 1.1062257
Train Step: 21, Samples/Sec = 1.32694176888, Samples/Sec(inst) = 5.83638164999, Loss = 0.70074
Train Step: 22, Samples/Sec = 1.37305755942, Samples/Sec(inst) = 5.83226703562, Loss = 1.4547639
Train Step: 23, Samples/Sec = 1.41825267496, Samples/Sec(inst) = 5.83788448396, Loss = 2.1335087
Train Step: 24, Samples/Sec = 1.46253931397, Samples/Sec(inst) = 5.83682023507, Loss = 0.7740202
Train Step: 25, Samples/Sec = 1.50593517287, Samples/Sec(inst) = 5.83220215723, Loss = 0.8270994
Train Step: 26, Samples/Sec = 1.54846733792, Samples/Sec(inst) = 5.82828779706, Loss = 0.86741185
Train Step: 27, Samples/Sec = 1.59018642607, Samples/Sec(inst) = 5.8342384047, Loss = 1.1789825
Train Step: 28, Samples/Sec = 1.63109019372, Samples/Sec(inst) = 5.83018353878, Loss = 1.0139878
Train Step: 29, Samples/Sec = 1.67121930904, Samples/Sec(inst) = 5.83274555831, Loss = 1.9775829
Train Step: 30, Samples/Sec = 1.71059526806, Samples/Sec(inst) = 5.83495264488, Loss = 1.1209034
Train Step: 31, Samples/Sec = 1.74923612334, Samples/Sec(inst) = 5.83590253052, Loss = 0.8455392
Train Step: 32, Samples/Sec = 1.78715063113, Samples/Sec(inst) = 5.83267255825, Loss = 0.7273492
Train Step: 33, Samples/Sec = 1.82436059226, Samples/Sec(inst) = 5.83025647655, Loss = 1.5750259
Train Step: 34, Samples/Sec = 1.86089566394, Samples/Sec(inst) = 5.83155345273, Loss = 0.9699515
Train Step: 35, Samples/Sec = 1.89677371604, Samples/Sec(inst) = 5.83263200345, Loss = 1.0136352
Train Step: 36, Samples/Sec = 1.93200162887, Samples/Sec(inst) = 5.83002146138, Loss = 0.44699833
Train Step: 37, Samples/Sec = 1.96662903075, Samples/Sec(inst) = 5.83835580209, Loss = 0.8024221
Train Step: 38, Samples/Sec = 2.00062977001, Samples/Sec(inst) = 5.83233191545, Loss = 1.8774209
Train Step: 39, Samples/Sec = 2.03404351175, Samples/Sec(inst) = 5.83427086637, Loss = 0.45443568
Train Step: 40, Samples/Sec = 2.0668764691, Samples/Sec(inst) = 5.83317548464, Loss = 1.01586
